instant,date,season,year,month,holiday,weekday,workingday,weathersit,casual,registered,total_count
276,2011-10-03,Musim Dingin,2011,October,0,Monday,1,Mist or Cloudy,330,3240,3570
277,2011-10-04,Musim Dingin,2011,October,0,Tuesday,1,Clear or Partly Cloudy,486,3970,4456
278,2011-10-05,Musim Dingin,2011,October,0,Wednesday,1,Clear or Partly Cloudy,559,4267,4826
279,2011-10-06,Musim Dingin,2011,October,0,Thursday,1,Clear or Partly Cloudy,639,4126,4765
280,2011-10-07,Musim Dingin,2011,October,0,Friday,1,Clear or Partly Cloudy,949,4036,4985
281,2011-10-08,Musim Dingin,2011,October,0,Saturday,0,Clear or Partly Cloudy,2235,3174,5409
282,2011-10-09,Musim Dingin,2011,October,0,Sunday,0,Clear or Partly Cloudy,2397,3114,5511
283,2011-10-10,Musim Dingin,2011,October,1,Monday,0,Clear or Partly Cloudy,1514,3603,5117
284,2011-10-11,Musim Dingin,2011,October,0,Tuesday,1,Mist or Cloudy,667,3896,4563
285,2011-10-12,Musim Dingin,2011,October,0,Wednesday,1,Light Snow or Rain with Thunderstorms,217,2199,2416
286,2011-10-13,Musim Dingin,2011,October,0,Thursday,1,Mist or Cloudy,290,2623,2913
287,2011-10-14,Musim Dingin,2011,October,0,Friday,1,Mist or Cloudy,529,3115,3644
288,2011-10-15,Musim Dingin,2011,October,0,Saturday,0,Clear or Partly Cloudy,1899,3318,5217
289,2011-10-16,Musim Dingin,2011,October,0,Sunday,0,Clear or Partly Cloudy,1748,3293,5041
290,2011-10-17,Musim Dingin,2011,October,0,Monday,1,Clear or Partly Cloudy,713,3857,4570
291,2011-10-18,Musim Dingin,2011,October,0,Tuesday,1,Mist or Cloudy,637,4111,4748
292,2011-10-19,Musim Dingin,2011,October,0,Wednesday,1,Light Snow or Rain with Thunderstorms,254,2170,2424
293,2011-10-20,Musim Dingin,2011,October,0,Thursday,1,Clear or Partly Cloudy,471,3724,4195
294,2011-10-21,Musim Dingin,2011,October,0,Friday,1,Clear or Partly Cloudy,676,3628,4304
295,2011-10-22,Musim Dingin,2011,October,0,Saturday,0,Clear or Partly Cloudy,1499,2809,4308
296,2011-10-23,Musim Dingin,2011,October,0,Sunday,0,Clear or Partly Cloudy,1619,2762,4381
297,2011-10-24,Musim Dingin,2011,October,0,Monday,1,Clear or Partly Cloudy,699,3488,4187
298,2011-10-25,Musim Dingin,2011,October,0,Tuesday,1,Clear or Partly Cloudy,695,3992,4687
299,2011-10-26,Musim Dingin,2011,October,0,Wednesday,1,Mist or Cloudy,404,3490,3894
300,2011-10-27,Musim Dingin,2011,October,0,Thursday,1,Mist or Cloudy,240,2419,2659
301,2011-10-28,Musim Dingin,2011,October,0,Friday,1,Mist or Cloudy,456,3291,3747
302,2011-10-29,Musim Dingin,2011,October,0,Saturday,0,Light Snow or Rain with Thunderstorms,57,570,627
303,2011-10-30,Musim Dingin,2011,October,0,Sunday,0,Clear or Partly Cloudy,885,2446,3331
304,2011-10-31,Musim Dingin,2011,October,0,Monday,1,Clear or Partly Cloudy,362,3307,3669
305,2011-11-01,Musim Dingin,2011,November,0,Tuesday,1,Clear or Partly Cloudy,410,3658,4068
306,2011-11-02,Musim Dingin,2011,November,0,Wednesday,1,Clear or Partly Cloudy,370,3816,4186
307,2011-11-03,Musim Dingin,2011,November,0,Thursday,1,Clear or Partly Cloudy,318,3656,3974
308,2011-11-04,Musim Dingin,2011,November,0,Friday,1,Mist or Cloudy,470,3576,4046
309,2011-11-05,Musim Dingin,2011,November,0,Saturday,0,Clear or Partly Cloudy,1156,2770,3926
310,2011-11-06,Musim Dingin,2011,November,0,Sunday,0,Clear or Partly Cloudy,952,2697,3649
311,2011-11-07,Musim Dingin,2011,November,0,Monday,1,Clear or Partly Cloudy,373,3662,4035
312,2011-11-08,Musim Dingin,2011,November,0,Tuesday,1,Clear or Partly Cloudy,376,3829,4205
313,2011-11-09,Musim Dingin,2011,November,0,Wednesday,1,Clear or Partly Cloudy,305,3804,4109
314,2011-11-10,Musim Dingin,2011,November,0,Thursday,1,Mist or Cloudy,190,2743,2933
315,2011-11-11,Musim Dingin,2011,November,1,Friday,0,Clear or Partly Cloudy,440,2928,3368
316,2011-11-12,Musim Dingin,2011,November,0,Saturday,0,Clear or Partly Cloudy,1275,2792,4067
317,2011-11-13,Musim Dingin,2011,November,0,Sunday,0,Clear or Partly Cloudy,1004,2713,3717
318,2011-11-14,Musim Dingin,2011,November,0,Monday,1,Clear or Partly Cloudy,595,3891,4486
319,2011-11-15,Musim Dingin,2011,November,0,Tuesday,1,Mist or Cloudy,449,3746,4195
320,2011-11-16,Musim Dingin,2011,November,0,Wednesday,1,Light Snow or Rain with Thunderstorms,145,1672,1817
321,2011-11-17,Musim Dingin,2011,November,0,Thursday,1,Mist or Cloudy,139,2914,3053
322,2011-11-18,Musim Dingin,2011,November,0,Friday,1,Clear or Partly Cloudy,245,3147,3392
323,2011-11-19,Musim Dingin,2011,November,0,Saturday,0,Clear or Partly Cloudy,943,2720,3663
324,2011-11-20,Musim Dingin,2011,November,0,Sunday,0,Mist or Cloudy,787,2733,3520
325,2011-11-21,Musim Dingin,2011,November,0,Monday,1,Light Snow or Rain with Thunderstorms,220,2545,2765
326,2011-11-22,Musim Dingin,2011,November,0,Tuesday,1,Light Snow or Rain with Thunderstorms,69,1538,1607
327,2011-11-23,Musim Dingin,2011,November,0,Wednesday,1,Mist or Cloudy,112,2454,2566
328,2011-11-24,Musim Dingin,2011,November,1,Thursday,0,Clear or Partly Cloudy,560,935,1495
329,2011-11-25,Musim Dingin,2011,November,0,Friday,1,Clear or Partly Cloudy,1095,1697,2792
330,2011-11-26,Musim Dingin,2011,November,0,Saturday,0,Clear or Partly Cloudy,1249,1819,3068
331,2011-11-27,Musim Dingin,2011,November,0,Sunday,0,Clear or Partly Cloudy,810,2261,3071
332,2011-11-28,Musim Dingin,2011,November,0,Monday,1,Clear or Partly Cloudy,253,3614,3867
333,2011-11-29,Musim Dingin,2011,November,0,Tuesday,1,Mist or Cloudy,96,2818,2914
334,2011-11-30,Musim Dingin,2011,November,0,Wednesday,1,Clear or Partly Cloudy,188,3425,3613
335,2011-12-01,Musim Dingin,2011,December,0,Thursday,1,Clear or Partly Cloudy,182,3545,3727
336,2011-12-02,Musim Dingin,2011,December,0,Friday,1,Clear or Partly Cloudy,268,3672,3940
337,2011-12-03,Musim Dingin,2011,December,0,Saturday,0,Clear or Partly Cloudy,706,2908,3614
338,2011-12-04,Musim Dingin,2011,December,0,Sunday,0,Clear or Partly Cloudy,634,2851,3485
339,2011-12-05,Musim Dingin,2011,December,0,Monday,1,Mist or Cloudy,233,3578,3811
340,2011-12-06,Musim Dingin,2011,December,0,Tuesday,1,Light Snow or Rain with Thunderstorms,126,2468,2594
341,2011-12-07,Musim Dingin,2011,December,0,Wednesday,1,Light Snow or Rain with Thunderstorms,50,655,705
342,2011-12-08,Musim Dingin,2011,December,0,Thursday,1,Clear or Partly Cloudy,150,3172,3322
343,2011-12-09,Musim Dingin,2011,December,0,Friday,1,Clear or Partly Cloudy,261,3359,3620
344,2011-12-10,Musim Dingin,2011,December,0,Saturday,0,Clear or Partly Cloudy,502,2688,3190
345,2011-12-11,Musim Dingin,2011,December,0,Sunday,0,Clear or Partly Cloudy,377,2366,2743
346,2011-12-12,Musim Dingin,2011,December,0,Monday,1,Clear or Partly Cloudy,143,3167,3310
347,2011-12-13,Musim Dingin,2011,December,0,Tuesday,1,Clear or Partly Cloudy,155,3368,3523
348,2011-12-14,Musim Dingin,2011,December,0,Wednesday,1,Mist or Cloudy,178,3562,3740
349,2011-12-15,Musim Dingin,2011,December,0,Thursday,1,Mist or Cloudy,181,3528,3709
350,2011-12-16,Musim Dingin,2011,December,0,Friday,1,Mist or Cloudy,178,3399,3577
351,2011-12-17,Musim Dingin,2011,December,0,Saturday,0,Mist or Cloudy,275,2464,2739
352,2011-12-18,Musim Dingin,2011,December,0,Sunday,0,Clear or Partly Cloudy,220,2211,2431
353,2011-12-19,Musim Dingin,2011,December,0,Monday,1,Clear or Partly Cloudy,260,3143,3403
354,2011-12-20,Musim Dingin,2011,December,0,Tuesday,1,Mist or Cloudy,216,3534,3750
355,2011-12-21,Musim Semi,2011,December,0,Wednesday,1,Mist or Cloudy,107,2553,2660
356,2011-12-22,Musim Semi,2011,December,0,Thursday,1,Mist or Cloudy,227,2841,3068
357,2011-12-23,Musim Semi,2011,December,0,Friday,1,Clear or Partly Cloudy,163,2046,2209
358,2011-12-24,Musim Semi,2011,December,0,Saturday,0,Clear or Partly Cloudy,155,856,1011
359,2011-12-25,Musim Semi,2011,December,0,Sunday,0,Clear or Partly Cloudy,303,451,754
360,2011-12-26,Musim Semi,2011,December,1,Monday,0,Clear or Partly Cloudy,430,887,1317
361,2011-12-27,Musim Semi,2011,December,0,Tuesday,1,Mist or Cloudy,103,1059,1162
362,2011-12-28,Musim Semi,2011,December,0,Wednesday,1,Clear or Partly Cloudy,255,2047,2302
363,2011-12-29,Musim Semi,2011,December,0,Thursday,1,Clear or Partly Cloudy,254,2169,2423
364,2011-12-30,Musim Semi,2011,December,0,Friday,1,Clear or Partly Cloudy,491,2508,2999
365,2011-12-31,Musim Semi,2011,December,0,Saturday,0,Clear or Partly Cloudy,665,1820,2485
366,2012-01-01,Musim Semi,2012,January,0,Sunday,0,Clear or Partly Cloudy,686,1608,2294
367,2012-01-02,Musim Semi,2012,January,1,Monday,0,Clear or Partly Cloudy,244,1707,1951
368,2012-01-03,Musim Semi,2012,January,0,Tuesday,1,Clear or Partly Cloudy,89,2147,2236
369,2012-01-04,Musim Semi,2012,January,0,Wednesday,1,Mist or Cloudy,95,2273,2368
370,2012-01-05,Musim Semi,2012,January,0,Thursday,1,Clear or Partly Cloudy,140,3132,3272
371,2012-01-06,Musim Semi,2012,January,0,Friday,1,Clear or Partly Cloudy,307,3791,4098
372,2012-01-07,Musim Semi,2012,January,0,Saturday,0,Clear or Partly Cloudy,1070,3451,4521
373,2012-01-08,Musim Semi,2012,January,0,Sunday,0,Clear or Partly Cloudy,599,2826,3425
374,2012-01-09,Musim Semi,2012,January,0,Monday,1,Mist or Cloudy,106,2270,2376
375,2012-01-10,Musim Semi,2012,January,0,Tuesday,1,Clear or Partly Cloudy,173,3425,3598
376,2012-01-11,Musim Semi,2012,January,0,Wednesday,1,Mist or Cloudy,92,2085,2177
377,2012-01-12,Musim Semi,2012,January,0,Thursday,1,Mist or Cloudy,269,3828,4097
378,2012-01-13,Musim Semi,2012,January,0,Friday,1,Clear or Partly Cloudy,174,3040,3214
379,2012-01-14,Musim Semi,2012,January,0,Saturday,0,Clear or Partly Cloudy,333,2160,2493
380,2012-01-15,Musim Semi,2012,January,0,Sunday,0,Clear or Partly Cloudy,284,2027,2311
381,2012-01-16,Musim Semi,2012,January,1,Monday,0,Clear or Partly Cloudy,217,2081,2298
382,2012-01-17,Musim Semi,2012,January,0,Tuesday,1,Mist or Cloudy,127,2808,2935
383,2012-01-18,Musim Semi,2012,January,0,Wednesday,1,Clear or Partly Cloudy,109,3267,3376
384,2012-01-19,Musim Semi,2012,January,0,Thursday,1,Clear or Partly Cloudy,130,3162,3292
385,2012-01-20,Musim Semi,2012,January,0,Friday,1,Mist or Cloudy,115,3048,3163
386,2012-01-21,Musim Semi,2012,January,0,Saturday,0,Mist or Cloudy,67,1234,1301
387,2012-01-22,Musim Semi,2012,January,0,Sunday,0,Mist or Cloudy,196,1781,1977
388,2012-01-23,Musim Semi,2012,January,0,Monday,1,Mist or Cloudy,145,2287,2432
389,2012-01-24,Musim Semi,2012,January,0,Tuesday,1,Clear or Partly Cloudy,439,3900,4339
390,2012-01-25,Musim Semi,2012,January,0,Wednesday,1,Clear or Partly Cloudy,467,3803,4270
391,2012-01-26,Musim Semi,2012,January,0,Thursday,1,Mist or Cloudy,244,3831,4075
392,2012-01-27,Musim Semi,2012,January,0,Friday,1,Mist or Cloudy,269,3187,3456
393,2012-01-28,Musim Semi,2012,January,0,Saturday,0,Clear or Partly Cloudy,775,3248,4023
394,2012-01-29,Musim Semi,2012,January,0,Sunday,0,Clear or Partly Cloudy,558,2685,3243
395,2012-01-30,Musim Semi,2012,January,0,Monday,1,Clear or Partly Cloudy,126,3498,3624
396,2012-01-31,Musim Semi,2012,January,0,Tuesday,1,Clear or Partly Cloudy,324,4185,4509
397,2012-02-01,Musim Semi,2012,February,0,Wednesday,1,Clear or Partly Cloudy,304,4275,4579
398,2012-02-02,Musim Semi,2012,February,0,Thursday,1,Mist or Cloudy,190,3571,3761
399,2012-02-03,Musim Semi,2012,February,0,Friday,1,Clear or Partly Cloudy,310,3841,4151
400,2012-02-04,Musim Semi,2012,February,0,Saturday,0,Mist or Cloudy,384,2448,2832
401,2012-02-05,Musim Semi,2012,February,0,Sunday,0,Mist or Cloudy,318,2629,2947
402,2012-02-06,Musim Semi,2012,February,0,Monday,1,Clear or Partly Cloudy,206,3578,3784
403,2012-02-07,Musim Semi,2012,February,0,Tuesday,1,Clear or Partly Cloudy,199,4176,4375
404,2012-02-08,Musim Semi,2012,February,0,Wednesday,1,Mist or Cloudy,109,2693,2802
405,2012-02-09,Musim Semi,2012,February,0,Thursday,1,Clear or Partly Cloudy,163,3667,3830
406,2012-02-10,Musim Semi,2012,February,0,Friday,1,Mist or Cloudy,227,3604,3831
407,2012-02-11,Musim Semi,2012,February,0,Saturday,0,Light Snow or Rain with Thunderstorms,192,1977,2169
408,2012-02-12,Musim Semi,2012,February,0,Sunday,0,Clear or Partly Cloudy,73,1456,1529
409,2012-02-13,Musim Semi,2012,February,0,Monday,1,Clear or Partly Cloudy,94,3328,3422
410,2012-02-14,Musim Semi,2012,February,0,Tuesday,1,Mist or Cloudy,135,3787,3922
411,2012-02-15,Musim Semi,2012,February,0,Wednesday,1,Clear or Partly Cloudy,141,4028,4169
412,2012-02-16,Musim Semi,2012,February,0,Thursday,1,Mist or Cloudy,74,2931,3005
413,2012-02-17,Musim Semi,2012,February,0,Friday,1,Clear or Partly Cloudy,349,3805,4154
414,2012-02-18,Musim Semi,2012,February,0,Saturday,0,Clear or Partly Cloudy,1435,2883,4318
415,2012-02-19,Musim Semi,2012,February,0,Sunday,0,Mist or Cloudy,618,2071,2689
416,2012-02-20,Musim Semi,2012,February,1,Monday,0,Clear or Partly Cloudy,502,2627,3129
417,2012-02-21,Musim Semi,2012,February,0,Tuesday,1,Clear or Partly Cloudy,163,3614,3777
418,2012-02-22,Musim Semi,2012,February,0,Wednesday,1,Clear or Partly Cloudy,394,4379,4773
419,2012-02-23,Musim Semi,2012,February,0,Thursday,1,Clear or Partly Cloudy,516,4546,5062
420,2012-02-24,Musim Semi,2012,February,0,Friday,1,Mist or Cloudy,246,3241,3487
421,2012-02-25,Musim Semi,2012,February,0,Saturday,0,Clear or Partly Cloudy,317,2415,2732
422,2012-02-26,Musim Semi,2012,February,0,Sunday,0,Clear or Partly Cloudy,515,2874,3389
423,2012-02-27,Musim Semi,2012,February,0,Monday,1,Clear or Partly Cloudy,253,4069,4322
424,2012-02-28,Musim Semi,2012,February,0,Tuesday,1,Clear or Partly Cloudy,229,4134,4363
425,2012-02-29,Musim Semi,2012,February,0,Wednesday,1,Mist or Cloudy,65,1769,1834
426,2012-03-01,Musim Semi,2012,March,0,Thursday,1,Clear or Partly Cloudy,325,4665,4990
427,2012-03-02,Musim Semi,2012,March,0,Friday,1,Mist or Cloudy,246,2948,3194
428,2012-03-03,Musim Semi,2012,March,0,Saturday,0,Mist or Cloudy,956,3110,4066
429,2012-03-04,Musim Semi,2012,March,0,Sunday,0,Clear or Partly Cloudy,710,2713,3423
430,2012-03-05,Musim Semi,2012,March,0,Monday,1,Clear or Partly Cloudy,203,3130,3333
431,2012-03-06,Musim Semi,2012,March,0,Tuesday,1,Clear or Partly Cloudy,221,3735,3956
432,2012-03-07,Musim Semi,2012,March,0,Wednesday,1,Clear or Partly Cloudy,432,4484,4916
433,2012-03-08,Musim Semi,2012,March,0,Thursday,1,Clear or Partly Cloudy,486,4896,5382
434,2012-03-09,Musim Semi,2012,March,0,Friday,1,Mist or Cloudy,447,4122,4569
435,2012-03-10,Musim Semi,2012,March,0,Saturday,0,Clear or Partly Cloudy,968,3150,4118
436,2012-03-11,Musim Semi,2012,March,0,Sunday,0,Clear or Partly Cloudy,1658,3253,4911
437,2012-03-12,Musim Semi,2012,March,0,Monday,1,Clear or Partly Cloudy,838,4460,5298
438,2012-03-13,Musim Semi,2012,March,0,Tuesday,1,Clear or Partly Cloudy,762,5085,5847
439,2012-03-14,Musim Semi,2012,March,0,Wednesday,1,Clear or Partly Cloudy,997,5315,6312
440,2012-03-15,Musim Semi,2012,March,0,Thursday,1,Clear or Partly Cloudy,1005,5187,6192
441,2012-03-16,Musim Semi,2012,March,0,Friday,1,Mist or Cloudy,548,3830,4378
442,2012-03-17,Musim Semi,2012,March,0,Saturday,0,Mist or Cloudy,3155,4681,7836
443,2012-03-18,Musim Semi,2012,March,0,Sunday,0,Mist or Cloudy,2207,3685,5892
444,2012-03-19,Musim Semi,2012,March,0,Monday,1,Clear or Partly Cloudy,982,5171,6153
445,2012-03-20,Musim Semi,2012,March,0,Tuesday,1,Clear or Partly Cloudy,1051,5042,6093
446,2012-03-21,Musim Panas,2012,March,0,Wednesday,1,Mist or Cloudy,1122,5108,6230
447,2012-03-22,Musim Panas,2012,March,0,Thursday,1,Clear or Partly Cloudy,1334,5537,6871
448,2012-03-23,Musim Panas,2012,March,0,Friday,1,Mist or Cloudy,2469,5893,8362
449,2012-03-24,Musim Panas,2012,March,0,Saturday,0,Mist or Cloudy,1033,2339,3372
450,2012-03-25,Musim Panas,2012,March,0,Sunday,0,Mist or Cloudy,1532,3464,4996
451,2012-03-26,Musim Panas,2012,March,0,Monday,1,Clear or Partly Cloudy,795,4763,5558
452,2012-03-27,Musim Panas,2012,March,0,Tuesday,1,Clear or Partly Cloudy,531,4571,5102
453,2012-03-28,Musim Panas,2012,March,0,Wednesday,1,Clear or Partly Cloudy,674,5024,5698
454,2012-03-29,Musim Panas,2012,March,0,Thursday,1,Clear or Partly Cloudy,834,5299,6133
455,2012-03-30,Musim Panas,2012,March,0,Friday,1,Mist or Cloudy,796,4663,5459
456,2012-03-31,Musim Panas,2012,March,0,Saturday,0,Mist or Cloudy,2301,3934,6235
457,2012-04-01,Musim Panas,2012,April,0,Sunday,0,Mist or Cloudy,2347,3694,6041
458,2012-04-02,Musim Panas,2012,April,0,Monday,1,Clear or Partly Cloudy,1208,4728,5936
459,2012-04-03,Musim Panas,2012,April,0,Tuesday,1,Clear or Partly Cloudy,1348,5424,6772
460,2012-04-04,Musim Panas,2012,April,0,Wednesday,1,Clear or Partly Cloudy,1058,5378,6436
461,2012-04-05,Musim Panas,2012,April,0,Thursday,1,Clear or Partly Cloudy,1192,5265,6457
462,2012-04-06,Musim Panas,2012,April,0,Friday,1,Clear or Partly Cloudy,1807,4653,6460
463,2012-04-07,Musim Panas,2012,April,0,Saturday,0,Clear or Partly Cloudy,3252,3605,6857
464,2012-04-08,Musim Panas,2012,April,0,Sunday,0,Clear or Partly Cloudy,2230,2939,5169
465,2012-04-09,Musim Panas,2012,April,0,Monday,1,Clear or Partly Cloudy,905,4680,5585
466,2012-04-10,Musim Panas,2012,April,0,Tuesday,1,Clear or Partly Cloudy,819,5099,5918
467,2012-04-11,Musim Panas,2012,April,0,Wednesday,1,Clear or Partly Cloudy,482,4380,4862
468,2012-04-12,Musim Panas,2012,April,0,Thursday,1,Clear or Partly Cloudy,663,4746,5409
469,2012-04-13,Musim Panas,2012,April,0,Friday,1,Clear or Partly Cloudy,1252,5146,6398
470,2012-04-14,Musim Panas,2012,April,0,Saturday,0,Clear or Partly Cloudy,2795,4665,7460
471,2012-04-15,Musim Panas,2012,April,0,Sunday,0,Clear or Partly Cloudy,2846,4286,7132
472,2012-04-16,Musim Panas,2012,April,1,Monday,0,Clear or Partly Cloudy,1198,5172,6370
473,2012-04-17,Musim Panas,2012,April,0,Tuesday,1,Clear or Partly Cloudy,989,5702,6691
474,2012-04-18,Musim Panas,2012,April,0,Wednesday,1,Mist or Cloudy,347,4020,4367
475,2012-04-19,Musim Panas,2012,April,0,Thursday,1,Clear or Partly Cloudy,846,5719,6565
476,2012-04-20,Musim Panas,2012,April,0,Friday,1,Clear or Partly Cloudy,1340,5950,7290
477,2012-04-21,Musim Panas,2012,April,0,Saturday,0,Clear or Partly Cloudy,2541,4083,6624
478,2012-04-22,Musim Panas,2012,April,0,Sunday,0,Light Snow or Rain with Thunderstorms,120,907,1027
479,2012-04-23,Musim Panas,2012,April,0,Monday,1,Mist or Cloudy,195,3019,3214
480,2012-04-24,Musim Panas,2012,April,0,Tuesday,1,Clear or Partly Cloudy,518,5115,5633
481,2012-04-25,Musim Panas,2012,April,0,Wednesday,1,Clear or Partly Cloudy,655,5541,6196
482,2012-04-26,Musim Panas,2012,April,0,Thursday,1,Mist or Cloudy,475,4551,5026
483,2012-04-27,Musim Panas,2012,April,0,Friday,1,Clear or Partly Cloudy,1014,5219,6233
484,2012-04-28,Musim Panas,2012,April,0,Saturday,0,Mist or Cloudy,1120,3100,4220
485,2012-04-29,Musim Panas,2012,April,0,Sunday,0,Clear or Partly Cloudy,2229,4075,6304
486,2012-04-30,Musim Panas,2012,April,0,Monday,1,Mist or Cloudy,665,4907,5572
487,2012-05-01,Musim Panas,2012,May,0,Tuesday,1,Mist or Cloudy,653,5087,5740
488,2012-05-02,Musim Panas,2012,May,0,Wednesday,1,Clear or Partly Cloudy,667,5502,6169
489,2012-05-03,Musim Panas,2012,May,0,Thursday,1,Mist or Cloudy,764,5657,6421
490,2012-05-04,Musim Panas,2012,May,0,Friday,1,Clear or Partly Cloudy,1069,5227,6296
491,2012-05-05,Musim Panas,2012,May,0,Saturday,0,Mist or Cloudy,2496,4387,6883
492,2012-05-06,Musim Panas,2012,May,0,Sunday,0,Mist or Cloudy,2135,4224,6359
493,2012-05-07,Musim Panas,2012,May,0,Monday,1,Mist or Cloudy,1008,5265,6273
494,2012-05-08,Musim Panas,2012,May,0,Tuesday,1,Mist or Cloudy,738,4990,5728
495,2012-05-09,Musim Panas,2012,May,0,Wednesday,1,Mist or Cloudy,620,4097,4717
496,2012-05-10,Musim Panas,2012,May,0,Thursday,1,Clear or Partly Cloudy,1026,5546,6572
497,2012-05-11,Musim Panas,2012,May,0,Friday,1,Clear or Partly Cloudy,1319,5711,7030
498,2012-05-12,Musim Panas,2012,May,0,Saturday,0,Clear or Partly Cloudy,2622,4807,7429
499,2012-05-13,Musim Panas,2012,May,0,Sunday,0,Clear or Partly Cloudy,2172,3946,6118
500,2012-05-14,Musim Panas,2012,May,0,Monday,1,Mist or Cloudy,342,2501,2843
501,2012-05-15,Musim Panas,2012,May,0,Tuesday,1,Mist or Cloudy,625,4490,5115
502,2012-05-16,Musim Panas,2012,May,0,Wednesday,1,Clear or Partly Cloudy,991,6433,7424
503,2012-05-17,Musim Panas,2012,May,0,Thursday,1,Clear or Partly Cloudy,1242,6142,7384
504,2012-05-18,Musim Panas,2012,May,0,Friday,1,Clear or Partly Cloudy,1521,6118,7639
505,2012-05-19,Musim Panas,2012,May,0,Saturday,0,Clear or Partly Cloudy,3410,4884,8294
506,2012-05-20,Musim Panas,2012,May,0,Sunday,0,Clear or Partly Cloudy,2704,4425,7129
507,2012-05-21,Musim Panas,2012,May,0,Monday,1,Mist or Cloudy,630,3729,4359
508,2012-05-22,Musim Panas,2012,May,0,Tuesday,1,Mist or Cloudy,819,5254,6073
509,2012-05-23,Musim Panas,2012,May,0,Wednesday,1,Mist or Cloudy,766,4494,5260
510,2012-05-24,Musim Panas,2012,May,0,Thursday,1,Clear or Partly Cloudy,1059,5711,6770
511,2012-05-25,Musim Panas,2012,May,0,Friday,1,Clear or Partly Cloudy,1417,5317,6734
512,2012-05-26,Musim Panas,2012,May,0,Saturday,0,Clear or Partly Cloudy,2855,3681,6536
513,2012-05-27,Musim Panas,2012,May,0,Sunday,0,Clear or Partly Cloudy,3283,3308,6591
514,2012-05-28,Musim Panas,2012,May,1,Monday,0,Clear or Partly Cloudy,2557,3486,6043
515,2012-05-29,Musim Panas,2012,May,0,Tuesday,1,Clear or Partly Cloudy,880,4863,5743
516,2012-05-30,Musim Panas,2012,May,0,Wednesday,1,Mist or Cloudy,745,6110,6855
517,2012-05-31,Musim Panas,2012,May,0,Thursday,1,Clear or Partly Cloudy,1100,6238,7338
518,2012-06-01,Musim Panas,2012,June,0,Friday,1,Mist or Cloudy,533,3594,4127
519,2012-06-02,Musim Panas,2012,June,0,Saturday,0,Clear or Partly Cloudy,2795,5325,8120
520,2012-06-03,Musim Panas,2012,June,0,Sunday,0,Clear or Partly Cloudy,2494,5147,7641
521,2012-06-04,Musim Panas,2012,June,0,Monday,1,Clear or Partly Cloudy,1071,5927,6998
522,2012-06-05,Musim Panas,2012,June,0,Tuesday,1,Mist or Cloudy,968,6033,7001
523,2012-06-06,Musim Panas,2012,June,0,Wednesday,1,Clear or Partly Cloudy,1027,6028,7055
524,2012-06-07,Musim Panas,2012,June,0,Thursday,1,Clear or Partly Cloudy,1038,6456,7494
525,2012-06-08,Musim Panas,2012,June,0,Friday,1,Clear or Partly Cloudy,1488,6248,7736
526,2012-06-09,Musim Panas,2012,June,0,Saturday,0,Clear or Partly Cloudy,2708,4790,7498
527,2012-06-10,Musim Panas,2012,June,0,Sunday,0,Clear or Partly Cloudy,2224,4374,6598
528,2012-06-11,Musim Panas,2012,June,0,Monday,1,Mist or Cloudy,1017,5647,6664
529,2012-06-12,Musim Panas,2012,June,0,Tuesday,1,Mist or Cloudy,477,4495,4972
530,2012-06-13,Musim Panas,2012,June,0,Wednesday,1,Clear or Partly Cloudy,1173,6248,7421
531,2012-06-14,Musim Panas,2012,June,0,Thursday,1,Clear or Partly Cloudy,1180,6183,7363
532,2012-06-15,Musim Panas,2012,June,0,Friday,1,Clear or Partly Cloudy,1563,6102,7665
533,2012-06-16,Musim Panas,2012,June,0,Saturday,0,Clear or Partly Cloudy,2963,4739,7702
534,2012-06-17,Musim Panas,2012,June,0,Sunday,0,Clear or Partly Cloudy,2634,4344,6978
535,2012-06-18,Musim Panas,2012,June,0,Monday,1,Mist or Cloudy,653,4446,5099
536,2012-06-19,Musim Panas,2012,June,0,Tuesday,1,Clear or Partly Cloudy,968,5857,6825
537,2012-06-20,Musim Panas,2012,June,0,Wednesday,1,Clear or Partly Cloudy,872,5339,6211
538,2012-06-21,Musim Gugur,2012,June,0,Thursday,1,Clear or Partly Cloudy,778,5127,5905
539,2012-06-22,Musim Gugur,2012,June,0,Friday,1,Clear or Partly Cloudy,964,4859,5823
540,2012-06-23,Musim Gugur,2012,June,0,Saturday,0,Clear or Partly Cloudy,2657,4801,7458
541,2012-06-24,Musim Gugur,2012,June,0,Sunday,0,Clear or Partly Cloudy,2551,4340,6891
542,2012-06-25,Musim Gugur,2012,June,0,Monday,1,Clear or Partly Cloudy,1139,5640,6779
543,2012-06-26,Musim Gugur,2012,June,0,Tuesday,1,Clear or Partly Cloudy,1077,6365,7442
544,2012-06-27,Musim Gugur,2012,June,0,Wednesday,1,Clear or Partly Cloudy,1077,6258,7335
545,2012-06-28,Musim Gugur,2012,June,0,Thursday,1,Clear or Partly Cloudy,921,5958,6879
546,2012-06-29,Musim Gugur,2012,June,0,Friday,1,Clear or Partly Cloudy,829,4634,5463
547,2012-06-30,Musim Gugur,2012,June,0,Saturday,0,Clear or Partly Cloudy,1455,4232,5687
548,2012-07-01,Musim Gugur,2012,July,0,Sunday,0,Clear or Partly Cloudy,1421,4110,5531
549,2012-07-02,Musim Gugur,2012,July,0,Monday,1,Clear or Partly Cloudy,904,5323,6227
